n,Site,Site.name,State,End_freeze,Start_freeze,Non_freeze_length,Diff_NFL,Lat,Lon,Spring,Fall,GSL,perc_day_freeze
1,West Burke ,WB,Vt,155,251,96,0,44.641442,-71.97871,,,,
2,Lake Placid,LP,NY,154,257,103,7,44.279494,-73.979858,,,,
3,Mt. Mansfield,MM,Vt,151,260,109,13,44.5437,-72.8143,140,270,130,56
4,Gouverneur,GOU,NY,142,264,122,26,44.336728,-75.462993,,,,
5,Morrisville,MOR,Vt,141,271,130,34,44.5617,-72.784,124,279,155,50
6,Montpelier,MON,Vt,138,273,135,39,44.260189,-72.575397,116,293,177,46
7,St. Johnsbury,STJ,Vt,138,274,136,40,44.419227,-72.015105,128,281,153,46
8,"Rutland, VT",RUT,Vt,136,273,137,41,43.587708,-72.968186,121,285,164,43
9,Massena,MAS,NY,128,274,146,50,44.928079,-74.891828,,,,
10,Burlington,BUR,Vt,127,280,153,57,44.475885,-73.2121,116,286,170,52
11,South Hero,SHE,Vt,118,288,170,74,44.686155,-73.32041,108,300,192,39
